Program Title,Award Level,Code,Faculty,url
Cultural Leadership,Graduate Diploma,5312,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5312.html
Cultural Leadership,Graduate Certificate,7318,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7318.html
Curating & Cultural Leadership,Masters Degree (Coursework),9318,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9318.html
"Cyber Sec, Strat & Diplomacy",Masters Degree (Coursework),8631,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8631.html
Cyber Security,Masters Degree (Coursework),8628,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8628.html
Cyber Security Operations,Masters Degree (Coursework),8629,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8629.html
Design,Graduate Certificate,7306,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7306.html
Design,Graduate Diploma,5306,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5306.html
Design,Masters Degree (Coursework),9313,Faculty of Art & Design,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9313.html
Development Studies,Masters Degree (Coursework),8942,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8942.html
Dispute Resolution,Masters Degree (Coursework),9235,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9235.html
Dispute Resolution,Graduate Diploma,5235,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5235.html
Economics,Graduate Certificate,7412,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7412.html
Economics,Masters Degree (Coursework),8412,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8412.html
Education,Masters Degree (Coursework),8910,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8910.html
Education,Graduate Certificate,7401,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7401.html
Educational Leadership,Graduate Certificate,7960,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7960.html
Educational Leadership,Masters Degree (Coursework),8960,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8960.html
Engineering,Masters Degree (Coursework),8621,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8621.html
Engineering (Biomedical Eng),Graduate Diploma,5449,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5449.html
Engineering Science,Masters Degree (Coursework),8569,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8569.html
